,pdf_type,confidence,total_pages,text_pages,scanned_pages,mixed_pages,ocr_pages,ocr_enabled,processing_time_sec,extraction_engine,requires_ocr,requires_docling,decision_reason
18,TEXT,61.18181818,275,256,2,17,0,FALSE,3.1414806,PyMuPDF,FALSE,FALSE,256 of 275 pages contain a text layer. OCR is not required. Use direct text and table extraction.
19,MIXED,65.79096045,177,159,1,17,0,TRUE,8.2325568,PyMuPDF,FALSE,FALSE,159 of 177 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
20,UNKNOWN,0,0,0,0,0,0,FALSE,0.0431557,,FALSE,FALSE,
21,MIXED,63.71794872,273,218,5,50,0,TRUE,4.0399737,PyMuPDF,FALSE,FALSE,218 of 273 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
22,TEXT,62.00892857,336,315,5,16,0,FALSE,4.4930602,PyMuPDF,FALSE,FALSE,315 of 336 pages contain a text layer. OCR is not required. Use direct text and table extraction.
23,TEXT,69.77031802,283,274,2,7,0,FALSE,21.5862778,PyMuPDF,FALSE,FALSE,274 of 283 pages contain a text layer. OCR is not required. Use direct text and table extraction.
24,UNKNOWN,0,0,0,0,0,0,FALSE,0.0652069,,FALSE,FALSE,
25,TEXT,63.72302158,278,257,3,18,0,FALSE,19.9910723,PyMuPDF,FALSE,FALSE,257 of 278 pages contain a text layer. OCR is not required. Use direct text and table extraction.
26,UNKNOWN,0,0,0,0,0,0,FALSE,0.0522932,,FALSE,FALSE,
27,MIXED,63.19767442,86,71,2,12,1,TRUE,4.7879241,PyMuPDF,FALSE,FALSE,71 of 86 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
28,TEXT,57.67010309,485,456,9,20,0,FALSE,12.3866145,PyMuPDF,FALSE,FALSE,456 of 485 pages contain a text layer. OCR is not required. Use direct text and table extraction.
29,TEXT,60.22563177,554,527,9,17,1,FALSE,8.6761495,PyMuPDF,FALSE,FALSE,527 of 554 pages contain a text layer. OCR is not required. Use direct text and table extraction.
30,UNKNOWN,0,0,0,0,0,0,FALSE,0.0422386,,FALSE,FALSE,
31,UNKNOWN,0,0,0,0,0,0,FALSE,0.0551838,,FALSE,FALSE,
32,UNKNOWN,0,0,0,0,0,0,FALSE,0.0376019,,FALSE,FALSE,
33,UNKNOWN,0,0,0,0,0,0,FALSE,0.0851921,,FALSE,FALSE,
34,UNKNOWN,0,0,0,0,0,0,FALSE,0.0348199,,FALSE,FALSE,
35,TEXT,68.43091335,427,417,10,0,0,FALSE,7.8684274,PyMuPDF,FALSE,FALSE,417 of 427 pages contain a text layer. OCR is not required. Use direct text and table extraction.
36,TEXT,56.66276347,427,401,12,12,2,FALSE,8.9721802,PyMuPDF,FALSE,FALSE,401 of 427 pages contain a text layer. OCR is not required. Use direct text and table extraction.
37,TEXT,57.42268041,485,449,5,31,0,FALSE,5.020462,PyMuPDF,FALSE,FALSE,449 of 485 pages contain a text layer. OCR is not required. Use direct text and table extraction.
